system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,timestamp,global_step
75.0,79.0,13.139347076416016,225.70649337768555,1752712587.7284334,0
68.6,79.2,12.990165710449219,225.70632553100586,1752712588.0532749,1
66.7,79.2,12.98398208618164,225.70631408691406,1752712588.065631,2
70.0,79.2,12.96860122680664,225.70630645751953,1752712588.0807414,3
69.6,79.3,12.94552993774414,225.70630645751953,1752712588.092883,4
69.6,79.3,12.942657470703125,225.70630264282227,1752712588.1038105,5
68.4,79.3,12.94266128540039,225.70629501342773,1752712588.1139607,6
73.9,79.3,12.93881607055664,225.7062873840332,1752712588.1250076,7
68.2,79.3,12.93881607055664,225.7062759399414,1752712588.136091,8
69.6,79.3,12.93881607055664,225.70626831054688,1752712588.1471791,9
66.7,79.1,13.04611587524414,225.70626831054688,1752712588.158314,10
68.2,79.1,13.044349670410156,225.7062644958496,1752712588.169691,11
69.6,79.1,13.044349670410156,225.70626068115234,1752712588.1817498,12
72.0,79.1,13.042667388916016,225.70624542236328,1752712588.1935368,13
66.7,79.1,13.040752410888672,225.70624160766602,1752712588.2048075,14
76.9,79.1,13.039070129394531,225.70623016357422,1752712588.2170775,15
80.0,79.1,13.035224914550781,225.70622634887695,1752712588.227692,16
77.3,79.1,13.035224914550781,225.7062225341797,1752712588.238728,17
87.5,79.1,13.034503936767578,225.70621490478516,1752712588.250902,18
80.8,79.1,13.03426742553711,225.70620346069336,1752712588.263071,19
85.7,79.1,13.03433609008789,225.70619583129883,1752712588.2745538,20
83.3,79.1,13.038124084472656,225.70619201660156,1752712588.2862597,21
82.6,79.1,13.038124084472656,225.7061882019043,1752712588.2979395,22
86.4,79.1,13.0374755859375,225.70618057250977,1752712588.3096776,23
82.6,79.1,13.036514282226562,225.70618057250977,1752712588.3206854,24
85.7,79.1,13.036514282226562,225.7061767578125,1752712588.3314683,25
77.3,79.1,13.034591674804688,225.7061653137207,1752712588.342025,26
77.3,79.1,13.032909393310547,225.70615768432617,1752712588.352997,27
71.4,79.2,13.015380859375,225.70614624023438,1752712588.3631337,28
84.2,79.2,13.015380859375,225.70614624023438,1752712588.3735037,29
86.4,79.2,13.015380859375,225.70613861083984,1752712588.3846216,30
83.3,79.2,13.015380859375,225.70613861083984,1752712588.396307,31
82.6,79.2,13.015384674072266,225.70613479614258,1752712588.407176,32
86.4,79.2,13.007694244384766,225.70612335205078,1752712588.4191198,33
81.8,79.2,13.007705688476562,225.70611190795898,1752712588.4301748,34
82.6,79.2,13.007705688476562,225.70610427856445,1752712588.441877,35
79.2,79.2,13.007705688476562,225.70610427856445,1752712588.4539309,36
79.2,79.2,13.003860473632812,225.7060890197754,1752712588.4658244,37
76.2,79.2,12.99713134765625,225.7060890197754,1752712588.476962,38
86.4,79.2,12.979618072509766,225.70607376098633,1752712588.4872313,39
83.3,79.3,12.962574005126953,225.70605850219727,1752712588.497521,40
82.6,79.3,12.943836212158203,225.70606231689453,1752712588.5082517,41
84.2,79.3,12.935184478759766,225.7060546875,1752712588.5187323,42
87.0,79.3,12.917648315429688,225.70606231689453,1752712588.5294273,43
82.6,79.3,12.913562774658203,225.7060546875,1752712588.5410788,44
86.4,79.4,12.90517807006836,225.7060546875,1752712588.552424,45
