sync_count,timestamp,best_worker,best_performance,updated_workers,total_runtime
65,1752708217.423093,3,196.91381089066397,"[0, 1, 2]",1920.6518898010254
66,1752708247.4357338,3,196.91381089066397,"[0, 1, 2]",1950.664531469345
67,1752708277.449978,3,196.91381089066397,"[0, 1, 2]",1980.6787750720978
68,1752708307.4617543,3,196.91381089066397,"[0, 1, 2]",2010.6905510425568
69,1752708337.471171,3,196.91381089066397,"[0, 1, 2]",2040.6999678611755
70,1752708367.480919,3,196.91381089066397,"[0, 1, 2]",2070.709715604782
71,1752708397.493483,3,196.91381089066397,"[0, 1, 2]",2100.7222797870636
72,1752708427.5048637,3,196.91381089066397,"[0, 1, 2]",2130.7336604595184
73,1752708457.51465,3,196.91381089066397,"[0, 1, 2]",2160.7434470653534
74,1752708487.5242405,3,196.91381089066397,"[0, 1, 2]",2190.753038406372
75,1752708517.535042,3,196.91381089066397,"[0, 1, 2]",2220.763839006424
76,1752708547.5492616,3,196.91381089066397,"[0, 1, 2]",2250.7780585289
77,1752708577.5607157,3,196.91381089066397,"[0, 1, 2]",2280.7895126342773
78,1752708607.5691156,3,196.91381089066397,"[0, 1, 2]",2310.7979123592377
79,1752708637.5819218,3,196.91381089066397,"[0, 1, 2]",2340.8107192516327
80,1752708667.5908904,3,196.91381089066397,"[0, 1, 2]",2370.819687604904
81,1752708697.6036072,3,196.91381089066397,"[0, 1, 2]",2400.8324048519135
82,1752708727.6148126,3,196.91381089066397,"[0, 1, 2]",2430.8436093330383
83,1752708757.6270885,3,196.91381089066397,"[0, 1, 2]",2460.8558864593506
84,1752708787.6387448,3,196.91381089066397,"[0, 1, 2]",2490.86754155159
85,1752708817.649294,3,196.91381089066397,"[0, 1, 2]",2520.878090620041
86,1752708847.6614392,3,196.91381089066397,"[0, 1, 2]",2550.890235900879
87,1752708877.670763,3,196.91381089066397,"[0, 1, 2]",2580.8995594978333
88,1752708907.682977,3,196.91381089066397,"[0, 1, 2]",2610.911774635315
89,1752708937.6956532,3,196.91381089066397,"[0, 1, 2]",2640.9244503974915
90,1752708967.710025,3,196.91381089066397,"[0, 1, 2]",2670.9388217926025
91,1752708997.7215905,3,196.91381089066397,"[0, 1, 2]",2700.950387239456
92,1752709027.7346702,3,196.91381089066397,"[0, 1, 2]",2730.9634671211243
93,1752709057.743538,3,196.91381089066397,"[0, 1, 2]",2760.972335100174
94,1752709087.7550175,3,196.91381089066397,"[0, 1, 2]",2790.983814239502
95,1752709117.767792,3,196.91381089066397,"[0, 1, 2]",2820.9965896606445
96,1752709147.7797296,3,196.91381089066397,"[0, 1, 2]",2851.008526325226
97,1752709177.790979,3,196.91381089066397,"[0, 1, 2]",2881.019775390625
98,1752709207.8039167,3,196.91381089066397,"[0, 1, 2]",2911.032713651657
99,1752709237.8130338,3,196.91381089066397,"[0, 1, 2]",2941.0418310165405
100,1752709267.8262596,3,196.91381089066397,"[0, 1, 2]",2971.0550560951233
101,1752709297.8401444,3,196.91381089066397,"[0, 1, 2]",3001.0689420700073
102,1752709327.8537662,3,196.91381089066397,"[0, 1, 2]",3031.08256316185
103,1752709357.865542,3,196.91381089066397,"[0, 1, 2]",3061.094338655472
104,1752709387.8786561,3,196.91381089066397,"[0, 1, 2]",3091.107454061508
105,1752709417.8901105,3,196.91381089066397,"[0, 1, 2]",3121.1189074516296
106,1752709447.8994696,3,196.91381089066397,"[0, 1, 2]",3151.1282663345337
107,1752709477.9114008,3,196.91381089066397,"[0, 1, 2]",3181.1401975154877
108,1752709507.9204652,3,196.91381089066397,"[0, 1, 2]",3211.149261713028
109,1752709537.9359093,3,196.91381089066397,"[0, 1, 2]",3241.164707183838
110,1752709567.9478023,3,196.91381089066397,"[0, 1, 2]",3271.176599264145
111,1752709597.960683,3,196.91381089066397,"[0, 1, 2]",3301.1894805431366
112,1752709627.9747,3,196.91381089066397,"[0, 1, 2]",3331.2034969329834
113,1752709657.9940698,3,196.91381089066397,"[0, 1, 2]",3361.2228665351868
114,1752709688.0077124,3,196.91381089066397,"[0, 1, 2]",3391.236510038376
115,1752709718.0215886,3,196.91381089066397,"[0, 1, 2]",3421.250386238098
116,1752709748.037792,3,196.91381089066397,"[0, 1, 2]",3451.2665886878967
117,1752709778.0492296,3,196.91381089066397,"[0, 1, 2]",3481.2780261039734
118,1752709808.062162,3,196.91381089066397,"[0, 1, 2]",3511.2909586429596
119,1752709838.0748923,3,196.91381089066397,"[0, 1, 2]",3541.303689956665
120,1752709868.0886407,3,196.91381089066397,"[0, 1, 2]",3571.3174381256104
121,1752709898.105816,3,196.91381089066397,"[0, 1, 2]",3601.3346135616302
122,1752709928.1180773,3,196.91381089066397,"[0, 1, 2]",3631.3468742370605
123,1752709958.132388,3,196.91381089066397,"[0, 1, 2]",3661.361184835434
124,1752709988.1458673,3,196.91381089066397,"[0, 1, 2]",3691.3746650218964
125,1752710018.160372,3,196.91381089066397,"[0, 1, 2]",3721.389169692993
126,1752710048.1735775,3,196.91381089066397,"[0, 1, 2]",3751.4023740291595
127,1752710078.1845398,3,196.91381089066397,"[0, 1, 2]",3781.413336992264
128,1752710108.1985679,3,196.91381089066397,"[0, 1, 2]",3811.427364587784
129,1752710138.2102602,3,196.91381089066397,"[0, 1, 2]",3841.4390573501587
130,1752710168.2223032,3,196.91381089066397,"[0, 1, 2]",3871.451099872589
131,1752710198.2321925,3,196.91381089066397,"[0, 1, 2]",3901.4609892368317
132,1752710228.2445428,3,196.91381089066397,"[0, 1, 2]",3931.4733397960663
133,1752710258.2563102,3,196.91381089066397,"[0, 1, 2]",3961.485106945038
134,1752710288.2677176,3,196.91381089066397,"[0, 1, 2]",3991.496514558792
135,1752710318.2825193,3,196.91381089066397,"[0, 1, 2]",4021.511317253113
136,1752710348.2945108,3,196.91381089066397,"[0, 1, 2]",4051.523307800293
137,1752710378.3087344,3,196.91381089066397,"[0, 1, 2]",4081.5375311374664
138,1752710408.322952,3,196.91381089066397,"[0, 1, 2]",4111.5517501831055
