system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,timestamp,global_step
73.7,70.2,18.643653869628906,225.82836151123047,1752712455.9616907,0
100.0,74.2,16.132247924804688,225.82831954956055,1752712456.6399667,1
100.0,74.2,16.108455657958984,225.82831573486328,1752712456.6526575,2
100.0,74.3,16.07745361328125,225.82831573486328,1752712456.6626337,3
100.0,74.3,16.06159210205078,225.82831192016602,1752712456.6697388,4
100.0,74.3,16.039962768554688,225.82831192016602,1752712456.67669,5
100.0,74.4,16.007278442382812,225.82831192016602,1752712456.6847944,6
100.0,74.4,15.973873138427734,225.82830429077148,1752712456.6945379,7
100.0,74.5,15.939987182617188,225.82830429077148,1752712456.702749,8
100.0,74.6,15.899372100830078,225.82830429077148,1752712456.712425,9
100.0,74.7,15.83477783203125,225.82830429077148,1752712456.72693,10
100.0,74.7,15.815071105957031,225.82830429077148,1752712456.7377207,11
100.0,74.8,15.774696350097656,225.82830429077148,1752712456.744325,12
100.0,74.8,15.757392883300781,225.82830047607422,1752712456.748238,13
