global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward
0,0,0,1752712587.7284334,1.4338154792785645,6,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,75.0,79.0,13.139347076416016,225.70649337768555,0.0005035400390625,0.0005035400390625,,,,,,,,,,
1,0,1,1752712588.0532749,1.7586567401885986,6,,,,,,68.6,79.2,12.990165710449219,225.70632553100586,0.008440017700195312,0.009417057037353516,1.0,1.0,-0.6403539180755615,-0.06671006977558136,0.07942170649766922,0.04855769872665405,-0.13288235664367676,0.3023681640625,0.0035409927368164062,1.0
2,0,2,1752712588.065631,1.7710130214691162,6,,,,,,66.7,79.2,12.98398208618164,225.70631408691406,0.008441448211669922,0.009418487548828125,1.0,1.0,-0.7119768857955933,-0.06326037645339966,0.35704225301742554,0.4169877767562866,-0.4448973536491394,0.0036487579345703125,0.003046751022338867,2.0
3,0,3,1752712588.0807414,1.786123514175415,6,,,,,,70.0,79.2,12.96860122680664,225.70630645751953,0.008442878723144531,0.009419918060302734,1.0,0.0,-0.6128758192062378,-0.061185285449028015,0.6483405232429504,0.7854206562042236,-0.7934379577636719,0.003837108612060547,0.0032808780670166016,3.0
4,0,4,1752712588.092883,1.7982652187347412,6,,,,,,69.6,79.3,12.94552993774414,225.70630645751953,0.00844430923461914,0.009421348571777344,1.0,1.0,-0.7114354968070984,-0.07097169756889343,0.3757096230983734,0.4171547293663025,-0.44725775718688965,0.0035161972045898438,0.003343343734741211,4.0
5,0,5,1752712588.1038105,1.8091926574707031,6,,,,,,69.6,79.3,12.942657470703125,225.70630264282227,0.00844573974609375,0.009422779083251953,1.0,0.0,-0.6136788129806519,-0.0705239474773407,0.6707057952880859,0.7860572338104248,-0.8024076819419861,0.0032875537872314453,0.002988100051879883,5.0
6,0,6,1752712588.1139607,1.8193426132202148,6,,,,,,68.4,79.3,12.94266128540039,225.70629501342773,0.00844717025756836,0.009424209594726562,1.0,0.0,-0.674720823764801,-0.0822368860244751,0.4405968487262726,0.4182758927345276,-0.4630136489868164,0.0024559497833251953,0.002954721450805664,6.0
7,0,7,1752712588.1250076,1.8303894996643066,6,,,,,,73.9,79.3,12.93881607055664,225.7062873840332,0.008448600769042969,0.009425640106201172,1.0,1.0,-0.6439452171325684,-0.09401364624500275,0.3054552674293518,0.20538786053657532,-0.5040258765220642,0.003065347671508789,0.003094911575317383,7.0
8,0,8,1752712588.136091,1.84147310256958,6,,,,,,68.2,79.3,12.93881607055664,225.7062759399414,0.008450031280517578,0.009427070617675781,1.0,0.0,-0.6715869903564453,-0.09540165960788727,0.4772590100765228,0.42036736011505127,-0.5103845000267029,0.00331878662109375,0.0032863616943359375,8.0
9,0,9,1752712588.1471791,1.8525612354278564,6,,,,,,69.6,79.3,12.93881607055664,225.70626831054688,0.008451461791992188,0.00942850112915039,1.0,1.0,-0.6479135751724243,-0.10894564539194107,0.35414284467697144,0.24866865575313568,-0.5774211883544922,0.00336456298828125,0.002832174301147461,9.0
10,0,10,1752712588.158314,1.8636963367462158,6,,,,,,66.7,79.1,13.04611587524414,225.70626831054688,0.008452892303466797,0.009429931640625,1.0,0.0,-0.6680174469947815,-0.1121959537267685,0.5204510688781738,0.4228380620479584,-0.5890987515449524,0.003420591354370117,0.002935647964477539,10.0
