system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,timestamp,global_step
69.6,79.5,12.824905395507812,225.74851989746094,1752712541.9332836,5676
68.2,79.4,12.880802154541016,225.7485122680664,1752712541.9441578,5677
68.2,79.4,12.865043640136719,225.74850845336914,1752712541.9553719,5678
63.6,79.4,12.846534729003906,225.74850463867188,1752712541.9660316,5679
63.6,79.4,12.846855163574219,225.74850463867188,1752712541.9770706,5680
63.6,79.4,12.846855163574219,225.7485008239746,1752712541.988109,5681
63.6,79.4,12.846855163574219,225.7484893798828,1752712541.9989886,5682
60.0,79.4,12.846855163574219,225.74847412109375,1752712542.009875,5683
63.6,79.4,12.846855163574219,225.74847030639648,1752712542.0208292,5684
66.7,79.4,12.846855163574219,225.74846649169922,1752712542.0316093,5685
63.6,79.4,12.846855163574219,225.74846649169922,1752712542.0424838,5686
61.9,79.4,12.850967407226562,225.7484588623047,1752712542.0529034,5687
63.6,79.4,12.850967407226562,225.74845504760742,1752712542.063831,5688
60.9,79.4,12.850967407226562,225.74844360351562,1752712542.0754168,5689
58.0,79.4,12.856075286865234,225.7482681274414,1752712542.170575,5690
59.1,79.4,12.856075286865234,225.74826431274414,1752712542.1815453,5691
58.3,79.4,12.856086730957031,225.74825286865234,1752712542.1933098,5692
56.5,79.4,12.856086730957031,225.74824905395508,1752712542.20477,5693
60.9,79.4,12.856086730957031,225.74823760986328,1752712542.2161913,5694
54.5,79.4,12.856086730957031,225.74822998046875,1752712542.2274454,5695
60.9,79.4,12.856086730957031,225.74821853637695,1752712542.2390213,5696
58.3,79.4,12.85610580444336,225.7482147216797,1752712542.2512574,5697
59.1,79.4,12.856151580810547,225.74821090698242,1752712542.2624528,5698
54.5,79.4,12.856151580810547,225.74821090698242,1752712542.2739432,5699
61.5,79.4,12.856151580810547,225.74819564819336,1752712542.286057,5700
57.1,79.4,12.856151580810547,225.74819564819336,1752712542.2971807,5701
58.3,79.4,12.85626220703125,225.74818420410156,1752712542.30939,5702
57.7,79.4,12.85626220703125,225.7481803894043,1752712542.3223438,5703
57.7,79.4,12.85626220703125,225.74817276000977,1752712542.3352952,5704
58.3,79.4,12.856266021728516,225.74817276000977,1752712542.3478594,5705
57.7,79.4,12.856266021728516,225.7481689453125,1752712542.3609512,5706
57.7,79.4,12.856281280517578,225.7481575012207,1752712542.3736103,5707
57.7,79.4,12.856281280517578,225.74814987182617,1752712542.3865268,5708
58.3,79.4,12.856281280517578,225.74814224243164,1752712542.3989549,5709
60.0,79.4,12.856281280517578,225.74813079833984,1752712542.4092267,5710
56.5,79.4,12.856281280517578,225.74813079833984,1752712542.420662,5711
60.9,79.4,12.856281280517578,225.74813079833984,1752712542.432026,5712
54.5,79.4,12.856281280517578,225.74811553955078,1752712542.4433863,5713
60.9,79.4,12.856285095214844,225.74811172485352,1752712542.4548142,5714
59.1,79.4,12.856285095214844,225.74810028076172,1752712542.4662497,5715
58.3,79.4,12.856346130371094,225.74809646606445,1752712542.4776692,5716
54.5,79.4,12.856346130371094,225.7480926513672,1752712542.4888499,5717
60.0,79.4,12.856346130371094,225.74808883666992,1752712542.501127,5718
57.1,79.4,12.856346130371094,225.74808502197266,1752712542.5120943,5719
60.9,79.4,12.856346130371094,225.7480697631836,1752712542.5235994,5720
58.3,79.4,12.856346130371094,225.74806213378906,1752712542.5352466,5721
59.1,79.4,12.856346130371094,225.74805450439453,1752712542.546428,5722
57.1,79.4,12.856346130371094,225.74805068969727,1752712542.5579445,5723
58.3,79.4,12.85634994506836,225.748046875,1752712542.569274,5724
59.1,79.4,12.85634994506836,225.748046875,1752712542.5806015,5725
54.5,79.4,12.85634994506836,225.74803161621094,1752712542.5919416,5726
62.5,79.4,12.85634994506836,225.74803161621094,1752712542.60327,5727
56.5,79.4,12.85634994506836,225.74801635742188,1752712542.6153674,5728
59.1,79.4,12.85634994506836,225.7480125427246,1752712542.6266675,5729
58.3,79.4,12.856369018554688,225.74800872802734,1752712542.6384704,5730
59.1,79.4,12.856369018554688,225.74800491333008,1752712542.6498098,5731
56.5,79.4,12.856369018554688,225.7480010986328,1752712542.661017,5732
59.1,79.4,12.856369018554688,225.74798965454102,1752712542.6724296,5733
56.5,79.4,12.856369018554688,225.74797821044922,1752712542.6837318,5734
59.1,79.4,12.856369018554688,225.7479705810547,1752712542.6946993,5735
59.1,79.4,12.85638427734375,225.7479705810547,1752712542.7060428,5736
60.9,79.4,12.85638427734375,225.74796295166016,1752712542.717315,5737
57.1,79.4,12.85638427734375,225.74796295166016,1752712542.7280946,5738
56.5,79.4,12.85638427734375,225.74795150756836,1752712542.7404547,5739
56.5,79.4,12.85638427734375,225.74794387817383,1752712542.7515771,5740
59.1,79.4,12.85638427734375,225.7479362487793,1752712542.7627037,5741
59.1,79.4,12.85638427734375,225.74792861938477,1752712542.7742372,5742
56.5,79.4,12.85638427734375,225.7479248046875,1752712542.785646,5743
60.9,79.4,12.85638427734375,225.74792098999023,1752712542.7968585,5744
56.5,79.4,12.85638427734375,225.74792098999023,1752712542.8085482,5745
57.1,79.4,12.85638427734375,225.74790573120117,1752712542.8198001,5746
59.1,79.4,12.85638427734375,225.74789810180664,1752712542.8307936,5747
58.3,79.4,12.85638427734375,225.74788665771484,1752712542.8423269,5748
58.3,79.4,12.85638427734375,225.74788665771484,1752712542.8544745,5749
59.1,79.4,12.85638427734375,225.74788284301758,1752712542.8660645,5750
58.3,79.4,12.856441497802734,225.7478790283203,1752712542.8773572,5751
57.1,79.4,12.856441497802734,225.74786758422852,1752712542.8890007,5752
60.0,79.4,12.856441497802734,225.74785995483398,1752712542.9010906,5753
56.0,79.4,12.856441497802734,225.74785232543945,1752712542.913259,5754
58.3,79.4,12.856441497802734,225.7478485107422,1752712542.9258635,5755
56.0,79.4,12.856441497802734,225.74784469604492,1752712542.9383636,5756
60.0,79.4,12.856483459472656,225.74784088134766,1752712542.9510348,5757
57.7,79.4,12.856483459472656,225.74784088134766,1752712542.9635837,5758
57.9,79.4,12.856483459472656,225.74782180786133,1752712542.9737437,5759
58.3,79.4,12.856521606445312,225.74781036376953,1752712542.985964,5760
59.1,79.4,12.856521606445312,225.74780654907227,1752712542.9966025,5761
59.1,79.4,12.856521606445312,225.74780654907227,1752712543.0081017,5762
56.5,79.4,12.858985900878906,225.747802734375,1752712543.0197833,5763
59.1,79.4,12.858985900878906,225.74779510498047,1752712543.030904,5764
58.3,79.4,12.858985900878906,225.74778366088867,1752712543.0424795,5765
60.9,79.4,12.858985900878906,225.74777603149414,1752712543.053806,5766
60.9,79.4,12.859130859375,225.74776458740234,1752712543.0652406,5767
54.5,79.4,12.863483428955078,225.74776077270508,1752712543.0768251,5768
62.5,79.4,12.864944458007812,225.7477569580078,1752712543.088143,5769
58.3,79.4,12.864944458007812,225.74775314331055,1752712543.1001275,5770
57.1,79.4,12.864944458007812,225.74774932861328,1752712543.1115768,5771
56.5,79.4,12.864997863769531,225.74773406982422,1752712543.1229858,5772
62.5,79.4,12.864997863769531,225.74772262573242,1752712543.1344154,5773
57.1,79.4,12.865432739257812,225.74771881103516,1752712543.1455498,5774
58.1,79.4,12.865467071533203,225.74767684936523,1752712543.2389944,5775
56.5,79.4,12.865467071533203,225.7476692199707,1752712543.2504551,5776
59.1,79.4,12.865467071533203,225.7476692199707,1752712543.2618408,5777
58.3,79.4,12.865467071533203,225.74765396118164,1752712543.2733555,5778
57.1,79.4,12.86551284790039,225.7476463317871,1752712543.2846966,5779
59.1,79.4,12.86551284790039,225.74763870239258,1752712543.2959855,5780
58.3,79.4,12.86551284790039,225.74763870239258,1752712543.307342,5781
57.1,79.4,12.86551284790039,225.74763107299805,1752712543.3187802,5782
59.1,79.4,12.86553955078125,225.74762725830078,1752712543.3297763,5783
58.3,79.4,12.86553955078125,225.74761962890625,1752712543.3411129,5784
59.1,79.4,12.86557388305664,225.74761199951172,1752712543.352536,5785
57.1,79.4,12.86581802368164,225.74760055541992,1752712543.3635814,5786
58.3,79.4,12.86581802368164,225.74759674072266,1752712543.3750846,5787
59.1,79.4,12.86581802368164,225.7475929260254,1752712543.3867054,5788
58.3,79.4,12.865859985351562,225.74758529663086,1752712543.3982036,5789
56.5,79.4,12.865859985351562,225.74758529663086,1752712543.4098,5790
60.0,79.4,12.865859985351562,225.7475700378418,1752712543.422631,5791
58.3,79.4,12.865859985351562,225.74756240844727,1752712543.4342945,5792
59.1,79.4,12.865859985351562,225.74755477905273,1752712543.4457731,5793
59.1,79.3,12.92617416381836,225.74755477905273,1752712543.456329,5794
54.5,79.3,12.92617416381836,225.7475471496582,1752712543.4678922,5795
59.1,79.3,12.92617416381836,225.74754333496094,1752712543.4789898,5796
60.9,79.3,12.92617416381836,225.7475357055664,1752712543.490604,5797
58.3,79.3,12.92617416381836,225.74752807617188,1752712543.5024052,5798
59.1,79.3,12.92617416381836,225.74751663208008,1752712543.5137446,5799
58.3,79.3,12.92618179321289,225.7475128173828,1752712543.525566,5800
56.5,79.3,12.92618179321289,225.74750900268555,1752712543.537069,5801
58.3,79.3,12.92618179321289,225.74750137329102,1752712543.5493834,5802
59.1,79.3,12.92618179321289,225.74750137329102,1752712543.5607328,5803
56.5,79.3,12.92618179321289,225.74748611450195,1752712543.5720077,5804
59.1,79.3,12.92618179321289,225.74747848510742,1752712543.583387,5805
57.1,79.3,12.92618179321289,225.7474708557129,1752712543.5939233,5806
59.1,79.3,12.92618179321289,225.7474708557129,1752712543.6054728,5807
58.3,79.3,12.926216125488281,225.74746704101562,1752712543.6166606,5808
59.1,79.3,12.926216125488281,225.7474594116211,1752712543.6282651,5809
54.5,79.3,12.926216125488281,225.74745559692383,1752712543.6394994,5810
60.9,79.3,12.926216125488281,225.7474479675293,1752712543.6506414,5811
56.5,79.3,12.926216125488281,225.74744033813477,1752712543.6627274,5812
60.0,79.3,12.926239013671875,225.74742889404297,1752712543.6748636,5813
60.9,79.3,12.926239013671875,225.74742889404297,1752712543.6862035,5814
54.5,79.3,12.926239013671875,225.74741744995117,1752712543.6973505,5815
60.9,79.3,12.926239013671875,225.74741744995117,1752712543.70964,5816
56.5,79.3,12.926239013671875,225.74740982055664,1752712543.720867,5817
60.9,79.3,12.926239013671875,225.7474021911621,1752712543.7323298,5818
58.3,79.3,12.926239013671875,225.74738693237305,1752712543.7442288,5819
56.0,79.3,12.926239013671875,225.74738693237305,1752712543.756958,5820
57.7,79.3,12.926239013671875,225.74738311767578,1752712543.769685,5821
58.3,79.3,12.926254272460938,225.74737930297852,1752712543.782041,5822
56.0,79.3,12.926254272460938,225.74737548828125,1752712543.7948127,5823
59.3,79.3,12.926261901855469,225.74736404418945,1752712543.8083463,5824
57.1,79.3,12.926277160644531,225.74735641479492,1752712543.8217292,5825
60.0,79.3,12.926277160644531,225.74734497070312,1752712543.8345802,5826
58.3,79.3,12.926277160644531,225.74734497070312,1752712543.8468373,5827
56.0,79.3,12.926277160644531,225.7473373413086,1752712543.859143,5828
58.3,79.3,12.926300048828125,225.7473373413086,1752712543.8716967,5829
60.0,79.3,12.926300048828125,225.74732971191406,1752712543.8816607,5830
60.9,79.3,12.926399230957031,225.7473258972168,1752712543.8931074,5831
56.5,79.3,12.926399230957031,225.74731063842773,1752712543.9044993,5832
