global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward,checkpoint_saved,checkpoint_episode,avg_reward,reward_change,model_file
18,1,5,1752712458.6314437,4.577412128448486,10.0,,,,,,71.4,79.9,12.56613540649414,225.8272705078125,0.017910003662109375,0.01896381378173828,1.0,1.0,-0.6703586578369141,0.001953214406967163,1.077431082725525,1.1866801977157593,-1.1720398664474487,0.004176616668701172,0.003402233123779297,6.0,,,,,
19,1,6,1752712458.6438477,4.589816093444824,10.0,,,,,,66.7,79.9,12.566139221191406,225.8272590637207,0.017911434173583984,0.01896381378173828,1.0,1.0,-0.8351250886917114,0.020217031240463257,0.9269077777862549,0.862425684928894,-0.8182687759399414,0.0042455196380615234,0.0032989978790283203,7.0,,,,,
20,1,7,1752712458.6568341,4.602802515029907,10.0,,,,,,68.0,79.9,12.566139221191406,225.8272590637207,0.017912864685058594,0.01896381378173828,1.0,0.0,-0.4455379545688629,0.03874996304512024,0.8303383588790894,0.9195382595062256,-0.8453145027160645,0.0037469863891601562,0.0033507347106933594,8.0,,,,,
21,1,8,1752712458.6696975,4.615665674209595,10.0,,,,,,69.2,79.9,12.551006317138672,225.82725143432617,0.017914295196533203,0.01896381378173828,1.0,1.0,-0.8823707103729248,0.052684247493743896,1.0543519258499146,1.0035967826843262,-0.8966590762138367,0.0043790340423583984,0.0033385753631591797,9.0,,,,,
22,1,9,1752712458.6810584,4.627026796340942,10.0,,,,,,65.2,79.9,12.543315887451172,225.8272476196289,0.017915725708007812,0.01896381378173828,1.0,0.0,-0.4210602045059204,0.07586520910263062,0.9839136600494385,1.1524194478988647,-0.9976831078529358,0.002938508987426758,0.0034215450286865234,10.0,,,,,
23,1,10,1752712458.6929374,4.638905763626099,10.0,,,,,,69.6,79.9,12.570732116699219,225.82724380493164,0.017917156219482422,0.01896381378173828,1.0,0.0,-0.5025441646575928,0.09451612830162048,1.2007386684417725,1.2488868236541748,-1.0497171878814697,0.003633260726928711,0.003538846969604492,11.0,,,,,
24,1,11,1752712458.7058988,4.651867151260376,10.0,,,,,,65.4,79.9,12.565406799316406,225.8272361755371,0.01791858673095703,0.01896381378173828,1.0,0.0,-0.5711777806282043,0.11797153949737549,1.4858708381652832,1.4114108085632324,-1.186034917831421,0.0045201778411865234,0.0028951168060302734,12.0,,,,,
25,1,12,1752712458.7188444,4.664812803268433,10.0,,,,,,64.0,79.9,12.54330062866211,225.8272361755371,0.01792001724243164,0.01896381378173828,1.0,1.0,-0.7738238573074341,0.14683228731155396,1.8171329498291016,1.7940330505371094,-1.544182538986206,0.003361940383911133,0.0032100677490234375,13.0,,,,,
26,1,13,1752712458.7311382,4.677106618881226,10.0,,,,,,64.0,79.9,12.535621643066406,225.82722091674805,0.01792144775390625,0.01896381378173828,1.0,0.0,-0.5002469420433044,0.1880207061767578,1.7874380350112915,1.9369908571243286,-1.5043179988861084,0.004260540008544922,0.002976655960083008,14.0,,,,,
27,2,0,1752712458.8337388,4.779707193374634,10.0,,,,,,65.2,80.1,12.459556579589844,225.82719039916992,0.017905712127685547,0.018978118896484375,1.0,0.0,-0.2735487222671509,0.039756231009960175,0.16000089049339294,0.240200012922287,-0.14503233134746552,0.004056215286254883,0.003839731216430664,1.0,,,,,
28,2,1,1752712458.8463967,4.792364835739136,10.0,,,,,,64.0,80.1,12.444175720214844,225.82716369628906,0.017907142639160156,0.018978118896484375,1.0,0.0,-0.37878865003585815,0.03450998663902283,0.37632039189338684,0.34832102060317993,-0.5005962252616882,0.004107952117919922,0.003052234649658203,2.0,,,,,
29,2,2,1752712458.8578045,4.803772926330566,10.0,,,,,,63.6,80.1,12.428794860839844,225.8271255493164,0.017908573150634766,0.018978118896484375,1.0,1.0,-0.9054540395736694,0.03175407648086548,0.6480674147605896,0.6986786723136902,-0.8561358451843262,0.0034799575805664062,0.0029239654541015625,3.0,,,,,
30,2,3,1752712458.8701317,4.816100120544434,10.0,,,,,,64.0,80.1,12.420188903808594,225.82711791992188,0.017910003662109375,0.018978118896484375,1.0,0.0,-0.38547566533088684,0.03593315929174423,0.3764285147190094,0.3560040295124054,-0.5011261105537415,0.0036873817443847656,0.0029473304748535156,4.0,,,,,
31,2,4,1752712458.8840454,4.8300135135650635,10.0,,,,,,63.3,80.1,12.40673828125,225.8271141052246,0.017911434173583984,0.018978118896484375,1.0,1.0,-0.8899708986282349,0.0348479300737381,0.6607213020324707,0.7122102975845337,-0.8570655584335327,0.004436016082763672,0.003685474395751953,5.0,,,,,
32,2,5,1752712458.8952155,4.841183662414551,10.0,,,,,,61.9,80.1,12.406753540039062,225.82711029052734,0.017912864685058594,0.018978118896484375,1.0,0.0,-0.3959946930408478,0.04099418222904205,0.42455706000328064,0.3815995752811432,-0.5024818778038025,0.0027430057525634766,0.0028557777404785156,6.0,,,,,
33,2,6,1752712458.9088047,4.854773044586182,10.0,,,,,,65.4,80.1,12.406757354736328,225.82710647583008,0.017914295196533203,0.018978118896484375,1.0,0.0,-0.5426236391067505,0.04206761717796326,0.704069972038269,0.7377350330352783,-0.8588153123855591,0.003618955612182617,0.003355741500854492,7.0,,,,,
