system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,timestamp,global_step
84.3,79.5,12.80636978149414,225.8276710510254,1752712458.067021,0
96.1,80.4,12.221885681152344,225.82741165161133,1752712458.4232194,1
86.7,80.2,12.35866928100586,225.8274040222168,1752712458.4382472,2
82.9,80.1,12.466419219970703,225.8274040222168,1752712458.455071,3
74.2,80.0,12.474685668945312,225.8274040222168,1752712458.4708743,4
75.8,80.0,12.52743911743164,225.82740020751953,1752712458.4880738,5
72.7,80.0,12.528404235839844,225.827392578125,1752712458.504759,6
73.1,80.0,12.528404235839844,225.82737731933594,1752712458.517828,7
75.0,79.9,12.574230194091797,225.8273468017578,1752712458.529181,8
76.2,79.9,12.589653015136719,225.82732009887695,1752712458.5404737,9
69.6,79.9,12.589675903320312,225.82730865478516,1752712458.5523798,10
68.0,79.9,12.589977264404297,225.82729721069336,1752712458.5643182,11
70.8,79.9,12.590259552001953,225.82728958129883,1752712458.5767798,12
67.9,79.9,12.590263366699219,225.8272819519043,1752712458.5904415,13
68.0,79.9,12.590263366699219,225.82727813720703,1752712458.603761,14
69.0,79.9,12.574066162109375,225.8272705078125,1752712458.617768,15
71.4,79.9,12.56613540649414,225.8272705078125,1752712458.631336,16
68.0,79.9,12.566139221191406,225.8272590637207,1752712458.6446683,17
66.7,79.9,12.566139221191406,225.8272590637207,1752712458.6579437,18
