global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward
0,0,0,1752712456.200793,2.794504404067993,7,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,75.2,71.1,18.06320571899414,225.82836151123047,0.0005035400390625,0.0005035400390625,,,,,,,,,,
1,0,1,1752712456.57014,3.163850784301758,7,,,,,,100.0,73.8,16.34860610961914,225.8283348083496,0.008440017700195312,0.009417057037353516,1.0,1.0,-0.714123547077179,-0.061697863042354584,0.41887906193733215,0.4291367530822754,-0.5753183960914612,0.34357333183288574,0.00030517578125,1.0
2,0,2,1752712456.5738542,3.167565107345581,7,,,,,,100.0,73.9,16.32938003540039,225.8283348083496,0.008441448211669922,0.009418487548828125,1.0,1.0,-0.7174522280693054,-0.055520497262477875,0.46178287267684937,0.4334677457809448,-0.583726704120636,0.0014247894287109375,0.0005939006805419922,2.0
3,0,3,1752712456.5790799,3.172790765762329,7,,,,,,100.0,73.9,16.32000732421875,225.8283348083496,0.008442878723144531,0.009419918060302734,1.0,0.0,-0.6635788679122925,-0.05254998058080673,0.6180137991905212,0.5735328197479248,-0.6164088845252991,0.0014467239379882812,0.0006682872772216797,3.0
4,0,4,1752712456.583703,3.1774139404296875,7,,,,,,100.0,73.9,16.29693603515625,225.8283348083496,0.00844430923461914,0.009421348571777344,1.0,0.0,-0.6625088453292847,-0.05912557244300842,0.3600682318210602,0.2752264142036438,-0.4725756347179413,0.0014619827270507812,0.0005776882171630859,4.0
5,0,5,1752712456.5886002,3.1823110580444336,7,,,,,,100.0,73.9,16.289485931396484,225.8283348083496,0.00844573974609375,0.009422779083251953,1.0,0.0,-0.6642158627510071,-0.06198123097419739,0.2995118200778961,0.2297494113445282,-0.43861496448516846,0.0016779899597167969,0.0004448890686035156,5.0
6,0,6,1752712456.5931036,3.186814546585083,7,,,,,,100.0,74.0,16.279632568359375,225.82833099365234,0.00844717025756836,0.009424209594726562,1.0,1.0,-0.7189643979072571,-0.060752347111701965,0.5013812780380249,0.4835795760154724,-0.5241011381149292,0.0015254020690917969,0.0006096363067626953,6.0
7,0,7,1752712456.5980208,3.1917314529418945,7,,,,,,100.0,74.0,16.26280975341797,225.82832717895508,0.008448600769042969,0.009425640106201172,1.0,1.0,-0.720250129699707,-0.04923924803733826,0.3597753345966339,0.32094264030456543,-0.49942252039909363,0.0016777515411376953,0.0006699562072753906,7.0
8,0,8,1752712456.602437,3.196147918701172,7,,,,,,100.0,74.0,16.24863052368164,225.82832717895508,0.008450031280517578,0.009427070617675781,1.0,1.0,-0.7232575416564941,-0.04056834056973457,0.3865746259689331,0.33995160460472107,-0.5085576176643372,0.0014560222625732422,0.0007772445678710938,8.0
9,0,9,1752712456.6071975,3.2009084224700928,7,,,,,,100.0,74.0,16.234451293945312,225.82832717895508,0.008451461791992188,0.00942850112915039,1.0,0.0,-0.658595085144043,-0.035139381885528564,0.5544264316558838,0.5679174661636353,-0.5360791087150574,0.001764535903930664,0.000438690185546875,9.0
10,0,10,1752712456.6154659,3.209177017211914,7,,,,,,100.0,74.1,16.210208892822266,225.82832717895508,0.008452892303466797,0.009429931640625,1.0,0.0,-0.65859055519104,-0.03921644389629364,0.29775577783584595,0.20902417600154877,-0.39875537157058716,0.0015273094177246094,0.0008387565612792969,10.0
11,0,11,1752712456.620616,3.214326858520508,7,,,,,,100.0,74.1,16.201316833496094,225.82832717895508,0.008454322814941406,0.00943136215209961,1.0,1.0,-0.7260462641716003,-0.039580680429935455,0.2726055979728699,0.194334477186203,-0.3654314875602722,0.0018444061279296875,0.0006740093231201172,11.0
12,0,12,1752712456.6255755,3.2192862033843994,7,,,,,,100.0,74.1,16.163345336914062,225.8283233642578,0.008455753326416016,0.009432792663574219,1.0,1.0,-0.7292913794517517,-0.030134715139865875,0.2837981879711151,0.20421376824378967,-0.37500229477882385,0.0016896724700927734,0.0006690025329589844,12.0
13,0,13,1752712456.6300876,3.2237985134124756,7,,,,,,100.0,74.2,16.155654907226562,225.82831954956055,0.008457183837890625,0.009434223175048828,1.0,1.0,-0.7348752617835999,-0.024076692759990692,0.48596757650375366,0.564996063709259,-0.49418389797210693,0.0016531944274902344,0.0005612373352050781,13.0
14,0,14,1752712456.634569,3.2282798290252686,7,,,,,,100.0,74.2,16.147964477539062,225.82831954956055,0.008458614349365234,0.009435653686523438,1.0,1.0,-0.741512656211853,-0.021881550550460815,0.7403382658958435,0.9293659329414368,-0.8390571475028992,0.0015707015991210938,0.0005991458892822266,14.0
15,0,15,1752712456.6402864,3.233997344970703,7,,,,,,100.0,74.2,16.132247924804688,225.82831954956055,0.008460044860839844,0.009437084197998047,1.0,1.0,-0.7462539076805115,-0.024106383323669434,1.0175997018814087,1.2939811944961548,-1.1872886419296265,0.0015864372253417969,0.0008492469787597656,15.0
16,0,16,1752712456.6449907,3.238701581954956,7,,,,,,100.0,74.2,16.132247924804688,225.82831954956055,0.008461475372314453,0.009438514709472656,1.0,1.0,-0.7468444108963013,-0.03138449788093567,1.3152364492416382,1.6589725017547607,-1.5410127639770508,0.0015997886657714844,0.0005679130554199219,16.0
17,0,17,1752712456.6502666,3.2450978755950928,7,,,,,,100.0,74.2,16.116146087646484,225.82831954956055,0.008462905883789062,0.009439945220947266,1.0,1.0,-0.7437357306480408,-0.04441690444946289,1.6355643272399902,2.0244300365448,-1.9022552967071533,0.0016627311706542969,0.0007665157318115234,17.0
18,0,18,1752712456.6584787,3.252189874649048,7,,,,,,100.0,74.2,16.10220718383789,225.82831573486328,0.008464336395263672,0.009441375732421875,1.0,0.0,-0.6490486860275269,-0.06396257877349854,1.9819039106369019,2.390383243560791,-2.2728869915008545,0.0026497840881347656,0.001008749008178711,18.0
19,0,19,1752712456.6621633,3.255873918533325,7,,,,,,100.0,74.3,16.07745361328125,225.82831573486328,0.008465766906738281,0.009442806243896484,1.0,1.0,-0.7395064234733582,-0.09702897071838379,1.8197678327560425,2.0271308422088623,-1.9497342109680176,0.0014083385467529297,0.00020647048950195312,19.0
20,0,20,1752712456.6671455,3.2608561515808105,7,,,,,,100.0,74.3,16.06543731689453,225.82831192016602,0.00846719741821289,0.009444236755371094,1.0,0.0,-0.6529719233512878,-0.12414848804473877,2.2040374279022217,2.394280195236206,-2.3442840576171875,0.0014657974243164062,0.000553131103515625,20.0
21,0,21,1752712456.6715202,3.265231132507324,7,,,,,,100.0,74.3,16.05774688720703,225.82831192016602,0.0084686279296875,0.009445667266845703,1.0,0.0,-0.6596054434776306,-0.16699910163879395,2.1350901126861572,2.0327703952789307,-2.0506038665771484,0.0012788772583007812,0.0001850128173828125,21.0
