system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,timestamp,global_step
73.7,70.2,18.652301788330078,225.82836151123047,1752712455.9535298,0
100.0,74.2,16.132247924804688,225.82831954956055,1752712456.6430907,1
100.0,74.2,16.116146087646484,225.82831954956055,1752712456.6506727,2
100.0,74.2,16.10220718383789,225.82831573486328,1752712456.6587427,3
100.0,74.3,16.05774688720703,225.82831192016602,1752712456.6669827,4
100.0,74.3,16.040924072265625,225.82831192016602,1752712456.6757195,5
100.0,74.4,16.007278442382812,225.82831192016602,1752712456.6847093,6
100.0,74.4,15.978679656982422,225.82830429077148,1752712456.6919887,7
100.0,74.5,15.939506530761719,225.82830429077148,1752712456.7036679,8
100.0,74.6,15.903217315673828,225.82830429077148,1752712456.7120872,9
100.0,74.7,15.83477783203125,225.82830429077148,1752712456.728016,10
