system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,timestamp,global_step
80.5,76.5,14.698532104492188,225.82817840576172,1752712457.0780306,0
100.0,78.1,13.693870544433594,225.82786560058594,1752712457.5367002,1
100.0,78.1,13.672000885009766,225.82783889770508,1752712457.5494082,2
100.0,78.1,13.663589477539062,225.82782745361328,1752712457.5616827,3
100.0,78.1,13.655899047851562,225.82782745361328,1752712457.5709674,4
100.0,78.2,13.648689270019531,225.82781982421875,1752712457.5847526,5
100.0,78.2,13.648689270019531,225.82781982421875,1752712457.5924857,6
100.0,78.2,13.648208618164062,225.82781219482422,1752712457.600766,7
100.0,78.2,13.640518188476562,225.82781219482422,1752712457.6096098,8
100.0,78.2,13.640037536621094,225.82781219482422,1752712457.619194,9
100.0,78.1,13.662769317626953,225.8278045654297,1752712457.6283298,10
100.0,78.1,13.690620422363281,225.82780075073242,1752712457.6373196,11
100.0,78.1,13.690620422363281,225.82780075073242,1752712457.6470897,12
100.0,78.1,13.689659118652344,225.82779693603516,1752712457.6549704,13
100.0,78.1,13.681968688964844,225.82779693603516,1752712457.6639805,14
100.0,78.1,13.680767059326172,225.82778930664062,1752712457.6721551,15
100.0,78.1,13.67526626586914,225.82778930664062,1752712457.6810203,16
100.0,78.1,13.669498443603516,225.8277816772461,1752712457.6893847,17
100.0,78.2,13.655323028564453,225.8277816772461,1752712457.702313,18
100.0,78.2,13.630809783935547,225.8277816772461,1752712457.7139454,19
100.0,78.2,13.596683502197266,225.82777404785156,1752712457.729987,20
100.0,78.3,13.571929931640625,225.82776641845703,1752712457.745704,21
100.0,78.4,13.513317108154297,225.82776641845703,1752712457.7578406,22
100.0,78.4,13.486881256103516,225.82776641845703,1752712457.7732975,23
100.0,78.5,13.467655181884766,225.8277587890625,1752712457.7804117,24
100.0,78.4,13.481765747070312,225.82775497436523,1752712457.7872016,25
100.0,78.5,13.460617065429688,225.82775115966797,1752712457.7949731,26
