global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward,checkpoint_saved,checkpoint_episode,avg_reward,reward_change,model_file
0,0,0,1752712456.125041,2.527674436569214,8.0,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,75.1,70.7,18.28708267211914,225.82836151123047,0.0005035400390625,0.0005035400390625,,,,,,,,,,,,,,,
1,0,1,1752712456.510194,2.912827491760254,8.0,,,,,,100.0,73.4,16.605072021484375,225.82834243774414,0.008440017700195312,0.009417057037353516,1.0,1.0,-0.6353321671485901,0.12052886933088303,0.2005603313446045,0.41376665234565735,-0.04048178344964981,0.3655526638031006,0.00041866302490234375,1.0,,,,,
2,0,2,1752712456.5164242,2.9190573692321777,8.0,,,,,,100.0,73.4,16.595699310302734,225.82834243774414,0.008441448211669922,0.009418487548828125,1.0,1.0,-0.6083232164382935,0.13022778928279877,0.34112513065338135,0.42150986194610596,-0.2717297673225403,0.002147197723388672,0.0007102489471435547,2.0,,,,,
3,0,3,1752712456.520252,2.922884941101074,8.0,,,,,,100.0,73.5,16.578636169433594,225.82834243774414,0.008442878723144531,0.009419918060302734,1.0,0.0,-0.8158354759216309,0.13777723908424377,0.5731524229049683,0.7531077861785889,-0.5945339798927307,0.0014965534210205078,0.0002448558807373047,3.0,,,,,
4,0,4,1752712456.5266647,2.929297685623169,8.0,,,,,,100.0,73.5,16.544269561767578,225.82834243774414,0.00844430923461914,0.009421348571777344,1.0,0.0,-0.7829011082649231,0.13690638542175293,0.2803628444671631,0.4034006595611572,-0.24466659128665924,0.0019540786743164062,0.00021195411682128906,4.0,,,,,
5,0,5,1752712456.5309033,2.9335365295410156,8.0,,,,,,100.0,73.6,16.523361206054688,225.82834243774414,0.00844573974609375,0.009422779083251953,1.0,0.0,-0.7525539994239807,0.1384674608707428,0.07742562890052795,0.2315911054611206,0.05392979830503464,0.0018315315246582031,0.00043082237243652344,5.0,,,,,
6,0,6,1752712456.535813,2.938446283340454,8.0,,,,,,100.0,73.6,16.493488311767578,225.82834243774414,0.00844717025756836,0.009424209594726562,1.0,1.0,-0.661615252494812,0.1428094506263733,0.31413060426712036,0.44622817635536194,-0.2954366207122803,0.002034902572631836,0.0009140968322753906,6.0,,,,,
7,0,7,1752712456.5397315,2.9423646926879883,8.0,,,,,,100.0,73.6,16.48462677001953,225.82833862304688,0.008448600769042969,0.009425640106201172,1.0,0.0,-0.7567213177680969,0.15609759092330933,0.11589811742305756,0.3220614492893219,0.052866142243146896,0.0015408992767333984,0.00023794174194335938,7.0,,,,,
8,0,8,1752712456.5435688,2.946202039718628,8.0,,,,,,100.0,73.6,16.468524932861328,225.82833862304688,0.008450031280517578,0.009427070617675781,1.0,1.0,-0.6577412486076355,0.16181111335754395,0.3339541256427765,0.4646850526332855,-0.296726793050766,0.0016481876373291016,0.0002243518829345703,8.0,,,,,
9,0,9,1752712456.5476122,2.9502453804016113,8.0,,,,,,100.0,73.7,16.45507049560547,225.82833862304688,0.008451461791992188,0.00942850112915039,1.0,1.0,-0.6296724081039429,0.17666497826576233,0.16493603587150574,0.4181957244873047,0.051320984959602356,0.001714468002319336,0.00035262107849121094,9.0,,,,,
10,0,10,1752712456.5518901,2.9545233249664307,8.0,,,,,,100.0,73.7,16.429115295410156,225.82833862304688,0.008452892303466797,0.009429931640625,1.0,0.0,-0.7925353646278381,0.18988321721553802,0.2909739911556244,0.4406600594520569,-0.18418718874454498,0.0017437934875488281,0.0005481243133544922,10.0,,,,,
11,0,11,1752712456.5553515,2.957984685897827,8.0,,,,,,100.0,73.7,16.41277313232422,225.82833862304688,0.008454322814941406,0.00943136215209961,1.0,1.0,-0.6279011964797974,0.195256769657135,0.1519203633069992,0.40871375799179077,0.04926144331693649,0.001394033432006836,0.00021123886108398438,11.0,,,,,
12,0,12,1752712456.5591567,2.961789846420288,8.0,,,,,,100.0,73.8,16.380809783935547,225.82833862304688,0.008455753326416016,0.009432792663574219,1.0,1.0,-0.6010518074035645,0.2095567286014557,0.27203959226608276,0.4361173212528229,-0.1552424430847168,0.0015652179718017578,0.0002167224884033203,12.0,,,,,
13,0,13,1752712456.5627317,2.965364933013916,8.0,,,,,,100.0,73.8,16.371196746826172,225.8283348083496,0.008457183837890625,0.009434223175048828,1.0,1.0,-0.5763323307037354,0.2218770980834961,0.5156798362731934,0.7448824048042297,-0.47747427225112915,0.0014045238494873047,0.00022125244140625,13.0,,,,,
14,0,14,1752712456.5663528,2.9689860343933105,8.0,,,,,,100.0,73.8,16.355815887451172,225.8283348083496,0.008458614349365234,0.009435653686523438,1.0,1.0,-0.5547325611114502,0.23176810145378113,0.7793875932693481,1.0927411317825317,-0.8007714152336121,0.0015370845794677734,0.0002200603485107422,14.0,,,,,
15,0,15,1752712456.5705428,2.9731757640838623,8.0,,,,,,100.0,73.8,16.34740447998047,225.8283348083496,0.008460044860839844,0.009437084197998047,1.0,0.0,-0.8787115812301636,0.23870080709457397,1.0579062700271606,1.4408425092697144,-1.1272368431091309,0.0018961429595947266,0.00032448768615722656,15.0,,,,,
16,0,16,1752712456.574253,2.97688627243042,8.0,,,,,,100.0,73.9,16.32938003540039,225.8283348083496,0.008461475372314453,0.009438514709472656,1.0,1.0,-0.5598499774932861,0.23636066913604736,0.8141390085220337,1.0916036367416382,-0.7840440273284912,0.0014624595642089844,0.00028896331787109375,16.0,,,,,
17,0,17,1752712456.5789857,2.981618881225586,8.0,,,,,,100.0,73.9,16.32000732421875,225.8283348083496,0.008462905883789062,0.009439945220947266,1.0,0.0,-0.8715065121650696,0.24108102917671204,1.1146496534347534,1.4405606985092163,-1.1228840351104736,0.0015785694122314453,0.0006766319274902344,17.0,,,,,
18,0,18,1752712456.5836227,2.986255645751953,8.0,,,,,,100.0,73.9,16.29693603515625,225.8283348083496,0.008464336395263672,0.009441375732421875,1.0,0.0,-0.8386525511741638,0.23609402775764465,0.9369933605194092,1.092121958732605,-0.7917753458023071,0.0015716552734375,0.0005674362182617188,18.0,,,,,
19,0,19,1752712456.589029,2.9916622638702393,8.0,,,,,,100.0,73.9,16.281795501708984,225.8283348083496,0.008465766906738281,0.009442806243896484,1.0,0.0,-0.8061205148696899,0.2319454848766327,0.8151983618736267,1.1079930067062378,-0.4679868519306183,0.0017135143280029297,0.0006566047668457031,19.0,,,,,
20,0,20,1752712456.5933015,2.9959347248077393,8.0,,,,,,100.0,74.0,16.279632568359375,225.82833099365234,0.00846719741821289,0.009444236755371094,1.0,0.0,-0.7754102349281311,0.22882427275180817,0.7545509934425354,1.204269528388977,-0.5361977219581604,0.0017178058624267578,0.0005700588226318359,20.0,,,,,
21,0,21,1752712456.5981126,3.0007457733154297,8.0,,,,,,100.0,74.0,16.26280975341797,225.82832717895508,0.0084686279296875,0.009445667266845703,1.0,1.0,-0.6409862637519836,0.22700920701026917,0.7561066746711731,1.2550264596939087,-0.5622948408126831,0.0014963150024414062,0.0005791187286376953,21.0,,,,,
22,0,22,1752712456.6029103,3.0055432319641113,8.0,,,,,,100.0,74.0,16.24863052368164,225.82832717895508,0.00847005844116211,0.009447097778320312,1.0,1.0,-0.6154372692108154,0.23287555575370789,0.7863651514053345,1.2602956295013428,-0.5352590084075928,0.002161264419555664,0.000705718994140625,22.0,,,,,
23,0,23,1752712456.6073332,3.0099663734436035,8.0,,,,,,100.0,74.0,16.233489990234375,225.82832717895508,0.008471488952636719,0.009448528289794922,1.0,1.0,-0.5921005010604858,0.2353055775165558,0.9466947317123413,1.3114556074142456,-0.5687421560287476,0.0017099380493164062,0.0005648136138916016,23.0,,,,,
24,0,24,1752712456.6112509,3.0138840675354004,8.0,,,,,,100.0,74.0,16.22030258178711,225.82832717895508,0.008472919464111328,0.009449958801269531,1.0,0.0,-0.830893874168396,0.23384279012680054,1.189510703086853,1.40849769115448,-0.9109310507774353,0.0016622543334960938,0.0002155303955078125,24.0,,,,,
25,0,25,1752712456.6158245,3.0184576511383057,8.0,,,,,,100.0,74.1,16.210208892822266,225.82832717895508,0.008474349975585938,0.00945138931274414,1.0,0.0,-0.7985220551490784,0.2218274474143982,1.1263315677642822,1.551429271697998,-0.8169804811477661,0.0016093254089355469,0.0007171630859375,25.0,,,,,
26,0,26,1752712456.6207516,3.0233848094940186,8.0,,,,,,100.0,74.1,16.201316833496094,225.82832717895508,0.008475780487060547,0.00945281982421875,1.0,1.0,-0.6236916780471802,0.21007898449897766,1.101603388786316,1.6489121913909912,-0.9190812706947327,0.0018801689147949219,0.0007352828979492188,26.0,,,,,
27,0,27,1752712456.6254826,3.0281155109405518,8.0,,,,,,100.0,74.1,16.163345336914062,225.8283233642578,0.008477210998535156,0.00945425033569336,1.0,1.0,-0.601059079170227,0.20533162355422974,1.2498286962509155,1.7010122537612915,-0.9699454307556152,0.0017147064208984375,0.0006852149963378906,27.0,,,,,
28,0,28,1752712456.6299307,3.0325636863708496,8.0,,,,,,100.0,74.2,16.155654907226562,225.82831954956055,0.008478641510009766,0.009455680847167969,1.0,1.0,-0.5815877318382263,0.19604414701461792,1.4799062013626099,1.7991036176681519,-1.0833766460418701,0.0015790462493896484,0.0004410743713378906,28.0,,,,,
29,0,29,1752712456.634828,3.037461280822754,8.0,,,,,,100.0,74.2,16.147964477539062,225.82831954956055,0.008480072021484375,0.009457111358642578,1.0,0.0,-0.8397315740585327,0.18167150020599365,1.7675585746765137,1.9431934356689453,-1.417378544807434,0.0017197132110595703,0.000579833984375,29.0,,,,,
30,0,30,1752712456.6403708,3.043004035949707,8.0,,,,,,100.0,74.2,16.132247924804688,225.82831954956055,0.008481502532958984,0.009458541870117188,1.0,1.0,-0.5898023843765259,0.15442287921905518,1.7537786960601807,2.133297920227051,-1.4993783235549927,0.0017600059509277344,0.00078582763671875,30.0,,,,,
31,0,31,1752712456.6450825,3.047715663909912,8.0,,,,,,100.0,74.2,16.124557495117188,225.82831954956055,0.008482933044433594,0.009459972381591797,1.0,0.0,-0.8295770883560181,0.13333618640899658,2.036649227142334,2.27816104888916,-1.6909146308898926,0.0016658306121826172,0.0005772113800048828,31.0,,,,,
32,0,32,1752712456.6503708,3.0530037879943848,8.0,,,,,,100.0,74.2,16.116146087646484,225.82831954956055,0.008484363555908203,0.009461402893066406,1.0,0.0,-0.7991617918014526,0.09766125679016113,2.056314468383789,2.4691247940063477,-1.9480985403060913,0.0018787384033203125,0.0007886886596679688,32.0,,,,,
33,1,0,1752712457.1266131,3.5292460918426514,8.0,,,,,,100.0,76.7,14.570735931396484,225.82813262939453,0.017931461334228516,0.01910686492919922,1.0,0.0,-0.8733137845993042,-0.1556885689496994,0.16930720210075378,-0.005553021095693111,-0.3123745322227478,0.0021708011627197266,0.0010657310485839844,1.0,,,,,
34,1,1,1752712457.1344428,3.537075996398926,8.0,,,,,,100.0,76.7,14.553192138671875,225.82813262939453,0.017932891845703125,0.01910686492919922,1.0,1.0,-0.542788565158844,-0.16282004117965698,0.3221338391304016,0.31858423352241516,-0.36089104413986206,0.002677440643310547,0.0008161067962646484,2.0,,,,,
